@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute School {A,B,C,D,E,F}
@attribute '\%_grad_on_time' numeric
@attribute Year numeric

@data
B,0.665158,74
D,0.936652,72
C,0.714932,74
F,0.579186,58
C,0.538462,76
F,1,74
B,0.757919,66
A,0.692308,75
E,0.255656,64
C,0.680995,72
A,0.604072,74
A,0,62
B,0.597285,62
C,0.255656,58
C,0.280543,62
B,0.545249,64
B,0.61086,75
F,0.968326,75
A,0.604072,72
A,0.325792,58
B,0.705882,76
F,0.723982,72
D,0.699095,76
F,0.328054,64
D,0.925339,75
F,0.825792,76
A,0.144796,64
B,0.59276,72
F,0.402715,62
E,0.538462,74
E,0.341629,76
E,0.438914,62
C,0.628959,66
C,0.309955,64
E,0.266968,72
D,0.80543,74
A,0.658371,76
D,0.81448,66
E,0.635747,58
C,0.567873,75
D,0.71267,64
A,0.18552,66
E,0.38009,75
D,0.834842,58
F,0.524887,66
E,0.323529,66
D,0.771493,62
B,0.608597,58
