@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute YES numeric
@attribute BIG numeric
@attribute PRIN numeric
@attribute SIZE numeric
@attribute VAL numeric
@attribute LIVE numeric
@attribute SALE numeric

@data
0.132114,0.743902,0.579639,0.541317,0.693431,0.307311,29.2
0.823171,0.573171,0.674877,0.301796,0.474453,0.858736,18.7
0.847561,0.913415,0.83908,0.234731,0.394161,0.078067,16.1
0.50813,0.903659,0.906404,0.331737,0.656934,0.033457,33.6
0.934959,0.417073,0.343186,0.171257,0.20438,0.731103,10.3
0.512195,0.570732,0.627258,0.704192,0.693431,0.876084,19.6
0.737805,0.74878,0.747126,0.456287,0.467153,0.454771,23.7
0.286585,0.79878,0.704433,0.281437,0.284672,0.454771,9.8
0.693089,0.44878,0.121511,0.116168,0.160584,0.914498,6.5
0.703252,0.920732,0.908046,0.31976,0.861314,0.006196,44.6
0.514228,0.89878,0.81445,0.347305,0.321168,0.550186,14
0.341463,0.910976,0.868637,0.580838,0.328467,0.83891,14.6
0.873984,0,0.238095,0.007186,0.109489,0.884758,4.5
0.684959,0.891463,0.857143,0.189222,0.313869,0.027261,11.6
0.815041,0.796341,0.816092,0.274251,0.562044,0.550186,25.8
0.512195,0.787805,0.747126,0.299401,0.343066,0.285006,14.2
0.632114,0.323171,0.610837,0.100599,0.350365,0.682776,11.6
0.804878,0.554878,0.538588,0.209581,0.248175,0.807931,9.3
0.813008,0.071951,0.357964,0.052695,0.167883,0.615861,7
0.54878,0.579268,0.737274,0.262275,0.49635,0.392813,25.1
0.396341,0.628049,0.748768,0.675449,0.839416,0.576208,24.2
0.97561,0.057317,0,0.043114,0.051095,0.789343,2.7
0.735772,0.6,0.789819,0.185629,0.693431,0.325898,27
0.410569,0.270732,0.228243,0.243114,0.233577,0.675341,8.9
0.802846,0.454878,0.231527,0.34491,0.328467,0.925651,16.1
0,0.717073,0.711002,1,0.686131,0.635688,21.5
0.804878,0.628049,0.602627,0.398802,0.379562,0.91202,13.3
0.876016,1,1,0.413174,1,0.017348,52.4
0.485772,0.582927,0.684729,0.215569,0.364964,0.609665,14.7
0.833333,0.257317,0.341544,0.11018,0.109489,0.793061,3.7
0.902439,0.796341,0.720854,0.971257,0.912409,0.781908,31.9
0.565041,0.760976,0.719212,0.347305,0.291971,0.94052,10.3
1,0.034146,0.10509,0.001198,0.021898,0.61834,2.5
0.369919,0.239024,0.382594,0.122156,0.510949,0.718711,14
0.969512,0.034146,0.118227,0.011976,0.116788,0.563817,5.4
0.22561,0.843902,0.908046,0.443114,0.562044,0.639405,24
0.597561,0.747561,0.743842,0.603593,0.547445,0.364312,25.5
0.904472,0.859756,0.71757,0.647904,0.671533,0.742255,25.3
0.306911,0.807317,0.761905,0.256287,0.350365,0.057001,15.4
0.817073,0.717073,0.702791,0.300599,0.394161,0.257745,16.5
0.939024,0.018293,0.039409,0,0,0.929368,0.4
0.585366,0.837805,0.761905,0.282635,0.656934,0,32.1
0.339431,0.918293,0.909688,0.929341,0.627737,0.643123,25.1
0.565041,0.847561,0.860427,0.561677,0.364964,0.806691,15.7
0.821138,0.671951,0.724138,0.516168,0.846715,0.869888,32.7
0.904472,0.303659,0.522167,0.093413,0.437956,0.605948,19.1
0.581301,0.780488,0.719212,0.286228,0.423358,0.510533,21.7
0.487805,0.840244,0.714286,0.467066,0.394161,0.563817,18.3
0.644309,0.737805,0.871921,0.186826,0.671533,0.076828,31.3
0.182927,0.845122,0.796388,0.822754,0.554745,0.833953,25.3
0.880081,0.720732,0.756979,0.240719,0.343066,1,19
0.587398,0.75,0.771757,0.656287,0.649635,0.540273,28
0.638211,0.503659,0.569787,0.183234,0.59854,0.624535,16.1
0.445122,0.710976,0.582923,0.498204,0.350365,0.526642,12.4
0.676829,0.640244,0.706076,0.208383,0.49635,0.276332,24.3
0.325203,0.857317,0.850575,0.337725,0.386861,0.16233,17.2
