@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute MODEL {Audi200QuatroWag,BMW750IL,BuickElectraWagon,BuickReatta,CadillacBrougham,ChevroletBeretta,ChevroletCaprice,ChevroletCorsica,ChryslerLebaronConv,ChryslerNewYorker,DaihatsuCharade,DodgeColt,DodgeDaytona,DodgeDynasty,DodgeShadow,EagleSpirit,EagleSummit,FordEscort,FordEscortWagon,FordMustang,FordTempo,FordThunderbird,GM/GeoMetro,GM/GeoMetroLSI,GM/GeoMetroXF1,GM/GeoPrism,GM/GeoSprint,GM/GeoSprintTurbo,GM/GeoStorm,HondaCivic,HondaCivicCRX,HondaCivicCRXHF,HondaCivicWagon,IsuzuStylus,JaguarXJSConvert,LexusLS400,LincolnContinental,Mazda323Protege,Mercedes500SL,Mercedes560SEL,Nissan300ZX,NissanCentraCoupe,NissanCentraWagon,OldsCutlassSup,OldsTrof/Toronado,Oldsmobile98,PontiacBonneville,PontiacLeMans,PontiacSunbirdConv,Rolls-RoyceVarious,Saab9000,'Subaru Loyale',SubaruJusty,SubaruJusty4wd,SuzukiSwift,ToyotaCamry,ToyotaCamryWagon,ToyotaCelica,ToyotaCorolla,ToyotaTercel,VolksJettaDiesel,Volvo740,Volvo760Wagon}
@attribute VOL numeric
@attribute HP numeric
@attribute MPG numeric
@attribute SP numeric
@attribute WT numeric

@data
GM/GeoMetroXF1,0.354545,0,1,0.08,17.5
DaihatsuCharade,0.381818,0.014652,0.637931,0.08,20
VolksJettaDiesel,0.490909,0.010989,0.645594,0,27.5
IsuzuStylus,0.463636,0.168498,0.51341,0.28,25
GM/GeoPrism,0.427273,0.194139,0.425287,0.28,27.5
ToyotaCelica,0.327273,0.296703,0.344828,0.4,30
SuzukiSwift,0.381818,0.076923,0.685824,0.2,20
FordMustang,0.381818,0.172161,0.283525,0.16,35
BMW750IL,0.627273,0.901099,0.06705,0.893333,45
NissanCentraWagon,0.345455,0.150183,0.417625,0.213333,27.5
Mazda323Protege,0.518182,0.197802,0.442529,0.293333,27.5
HondaCivicCRXHF,0,0.047619,0.881226,0.106667,22.5
CadillacBrougham,0.718182,0.461538,0.12069,0.413333,45
GM/GeoMetroLSI,0.381818,0.021978,0.818008,0.093333,20
SubaruJusty,0.354545,0.087912,0.534483,0.173333,22.5
HondaCivicCRX,0,0.157509,0.490421,0.306667,22.5
GM/GeoMetro,0.381818,0.021978,0.819923,0.093333,20
'Subaru Loyale',0.472727,0.150183,0.312261,0.253333,25
DodgeShadow,0.472727,0.161172,0.350575,0.2,30
PontiacSunbirdConv,0.345455,0.168498,0.363985,0.213333,30
ToyotaCorolla,0.572727,0.194139,0.423372,0.28,27.5
Volvo740,0.554545,0.351648,0.277778,0.4,35
HondaCivicCRX,0,0.157509,0.530651,0.306667,22.5
