@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute EN numeric
@attribute HC numeric
@attribute CO numeric
@attribute NOX numeric

@data
0.111111,0.065789,0.248616,1.45
0.6,0.092105,0,2.27
0.444444,0.039474,0.104705,1.2
0.866667,0.184211,0.127768,1.47
0.711111,0.289474,0.1619,1.26
0.177778,0.5,0.587638,0.6
0.533333,0.407895,0.431273,0.95
0.244444,0.052632,0.103782,1.47
0.044444,0.157895,0.311347,1.17
0.155556,0.276316,0.482011,1.22
0.955556,0.157895,0.098708,2.01
0.822222,0.223684,0.181734,1.51
0.911111,0.355263,0.303506,1.06
0.355556,0.644737,0.612546,0.49
1,0.276316,0.259225,1.39
0.888889,0.236842,0.227399,1.15
0.755556,0.223684,0.177122,1.73
0.333333,0.513158,0.605166,0.51
0.222222,0.644737,0.446494,1.32
0.4,0,0.096863,1.38
0.377778,0.302632,0.14714,1.49
0.266667,0.052632,0.154982,1.24
0.688889,0.236842,0.112546,2.94
0.977778,0.171053,0.155443,1.12
0.066667,0.092105,0.118542,1.31
0.133333,0.131579,0.26107,1.08
0.466667,0.894737,1,0.86
0.844444,0.026316,0.008303,1.8
0.288889,0.210526,0.472786,1.44
0.088889,0.092105,0.142989,1.16
0.8,0.302632,0.192343,1.31
0.022222,0.407895,0.591328,0.72
0.511111,1,0.971863,0.57
0.311111,0.342105,0.358395,0.71
0.488889,0.697368,0.791052,0.78
0.933333,0.315789,0.192343,0.97
0.622222,0.223684,0.103782,1.78
0.666667,0.171053,0.133303,1.83
0.644444,0.092105,0.018911,1.87
0.555556,0.118421,0.090406,1.79
0.2,0.394737,0.282749,1.32
0.733333,0.473684,0.598708,1.16
0.777778,0.236842,0.207565,1.45
0.422222,0.092105,0.070572,1.33
0.577778,0.184211,0.073801,2.2
0,0.210526,0.145756,1.28
