@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute PRICE numeric
@attribute SQFT numeric
@attribute AGE numeric
@attribute FEATS numeric
@attribute NE numeric
@attribute CUST numeric
@attribute COR numeric
@attribute TAX numeric

@data
0.206211,0.134569,0.096154,0.375,0,0,0,721
0.84472,0.598352,0.057692,0.5,1,0,0,1534
0.130435,0.066255,?,0.125,1,0,0,486
0.204969,0.152077,?,0.125,1,0,0,599
0.080745,0.118091,?,0.5,1,0,0,440
0.440994,0.450738,0.269231,0.375,1,0,0,984
0.304348,0.241332,0.096154,0.25,0,0,1,826
0.142857,0.021627,?,0.375,0,0,0,391
0.956522,0.605218,?,0.5,1,1,0,1088
0.093168,0.175421,0.269231,0.25,1,1,0,?
0.353416,0.30999,0.057692,0.375,0,0,0,816
0.204969,0.149674,0.057692,0.5,0,0,0,638
0.26087,0.25266,0.307692,0.75,1,0,0,768
0.236025,0.198421,0.115385,0.5,0,0,0,866
0.282609,0.30484,?,0.375,1,0,0,923
0.080745,0.176107,?,0.25,1,0,0,622
0.657764,0.550292,?,0.625,1,1,0,1265
0.13354,0.15036,?,0.625,1,0,0,?
0.049068,0,?,0.25,1,0,0,342
0.254658,0.301407,?,0.375,0,0,0,900
0.21677,0.244422,?,0.5,1,0,0,723
0.298137,0.263989,0.076923,0.5,0,0,0,811
0.130435,0.171988,?,0.375,1,0,1,649
0.195652,0.364916,?,0.375,1,0,0,780
0,0.104703,?,0,0,0,0,223
0.164596,0.144525,0.115385,0.5,1,0,1,821
0.118012,0.065225,?,0.375,1,0,0,427
0.140373,0.124614,0.115385,0.5,0,0,1,634
0.167702,0.181256,?,0.25,1,0,0,673
0.114907,0.104016,?,0.375,1,0,1,490
0.63354,0.371782,0,0.625,1,1,0,1161
0.363354,0.299691,0.288462,0.5,1,1,0,800
0.16087,0.163749,?,0.25,1,0,0,671
0.440994,0.461037,0.307692,0.5,1,0,1,1141
0.099379,0.229317,?,0.25,0,0,1,591
0.222981,0.215242,?,0.25,1,1,0,566
0.385093,0.303124,0.076923,0.5,0,0,0,867
1,0.627188,0.096154,0.625,1,1,0,1193
0.968944,0.439066,0.461538,0.375,0,1,0,1209
0.270186,0.309646,0.230769,0.375,0,0,0,880
0.217391,0.312049,?,0.25,1,0,0,591
0.049689,0.220735,?,0.5,0,0,0,?
0.204348,0.112599,0.115385,0.5,0,0,0,694
0.114907,0.152077,?,0.375,0,0,0,447
0.645963,0.592516,?,0.25,0,1,0,1189
0.468944,1,?,0.5,0,1,1,1200
0.354037,0.272228,0.269231,0.375,1,0,1,867
0.490683,0.347751,0.076923,0.625,0,1,1,?
0.471429,0.654308,0.461538,0.625,1,1,1,1232
0.31677,0.371782,0.134615,0.5,0,0,0,944
1,0.715414,0.038462,0.75,1,1,0,1635
0.381988,0.319258,0.288462,0.5,1,0,0,794
0.149068,0.083419,?,0.375,0,1,0,600
0.434161,0.298318,0.25,0.5,1,0,0,810
0.329193,0.215242,?,0.25,0,0,0,376
0.173913,0.184689,?,0.125,0,0,0,585
0.248447,0.160659,0.076923,0.375,0,0,0,647
0.565217,0.450738,?,0.5,1,0,0,?
0.10559,0.084449,0.403846,0.5,1,0,0,504
0.440994,0.494336,?,0.5,1,1,0,?
0.223602,0.193272,0.288462,0.25,1,0,1,731
0.270186,0.17954,?,0.5,1,0,0,696
0.24472,0.242362,0.365385,0.375,1,0,0,820
0.397516,0.340886,?,0.375,1,0,0,733
0.906211,0.598352,0.057692,0.5,1,1,0,1732
0.282609,0.2276,0.269231,0.5,1,0,0,743
0.14472,0.165808,?,0.625,1,0,0,?
0.316149,0.364916,0.634615,0.375,1,0,0,690
0.111801,0.07312,?,0.125,1,0,0,?
0.564596,0.299691,0,0.375,1,1,0,1010
0.198758,0.188122,?,0.25,1,0,0,653
0.207453,0.136972,0.038462,0.5,0,0,0,707
0.192547,0.121181,0.769231,0.125,1,0,0,600
0.937888,0.622382,0.230769,0.875,1,1,0,1639
0.31677,0.289392,0.230769,0.5,1,0,0,875
0.237267,0.167868,?,0.5,1,0,0,668
0.099379,0.129763,?,0.375,1,0,0,477
0.391304,0.374528,0.326923,1,1,1,0,600
0.37205,0.289392,0.307692,0.5,1,0,1,750
0.47205,0.399245,?,0.375,1,1,0,1076
0.347826,0.281497,?,0.5,1,0,0,865
0.782609,0.66495,0.019231,0.5,1,0,0,1765
0.208696,0.109509,?,0.125,1,0,0,?
0.717391,0.718847,0.519231,0.375,1,0,1,1142
0.129814,0.307587,0.807692,0.75,1,0,0,656
0.037267,0.123927,?,0.5,0,0,0,?
0.074534,0.110539,?,0,0,0,0,225
0.270186,0.20357,?,0.375,1,0,0,752
0.18323,0.248198,?,0.625,1,0,1,638
0.118634,0.158599,?,0.75,1,0,0,585
0.257764,0.249914,?,0.375,1,1,0,648
0.503106,0.486097,0.423077,0.5,1,1,0,939
0.629193,0.467903,0.519231,0.5,1,0,0,1035
1,0.690354,0.057692,0.75,1,1,0,1487
0.208075,0.115345,0.096154,0.5,1,0,0,456
0.247826,0.202884,0.75,0.25,0,0,0,701
0.23913,0.07312,?,0.25,1,0,1,553
0.136025,0.054926,0.057692,0.5,1,0,0,461
0.335404,0.467903,0.480769,0.5,1,0,0,1076
0.270186,0.2276,0.115385,0.375,0,1,1,700
