@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Width numeric
@attribute Angle numeric
@attribute Species {Con,Hei,Hep}

@data
0.121951,0.875,Hei
0.219512,0.75,Hei
0.170732,1,Hei
0.414634,0.625,Hei
0.341463,0.625,Hei
0.512195,0.375,Hep
0.317073,0.75,Hei
0.341463,0.75,Hei
0,1,Hei
0.682927,0.25,Hep
0.073171,0.75,Hei
0.390244,1,Hei
0.146341,0.875,Hei
0.756098,0.625,Con
0.317073,0.625,Hei
0.097561,0.625,Hei
0.682927,0.75,Con
0.512195,0.75,Con
0.512195,0.25,Hep
0.317073,0.375,Hep
0.146341,0.625,Hei
0.317073,0.875,Hei
0.317073,0.75,Hei
0.780488,0.625,Con
1,0.75,Con
0.756098,0.625,Con
0.219512,0.75,Hei
0.195122,0.875,Hei
0.317073,0.75,Hei
0.487805,0.5,Hep
0.365854,0.25,Hep
0.536585,0.25,Hep
0.560976,0.25,Hep
0.195122,0.625,Hei
0.146341,0.5,Hei
0.658537,0.75,Con
0.585366,0.375,Hep
0.097561,0.875,Hei
0.585366,0.25,Hep
0.536585,0.125,Hep
0.634146,0.875,Con
0.073171,1,Hei
0.585366,0.875,Con
0.804878,0.625,Con
0.682927,0.75,Con
0.609756,0.625,Con
0.756098,0.75,Con
0.341463,0.125,Hep
0.902439,0.625,Con
0.682927,1,Con
0.268293,0.875,Hei
0.585366,0.25,Hep
0.365854,1,Hei
0.560976,0.375,Hep
0.707317,0,Hep
0.073171,0.75,Hei
0.658537,0.125,Hep
0.829268,0.875,Con
0.219512,0.875,Hei
0.829268,0.875,Con
0.170732,0.875,Hei
0.609756,0.375,Hep
0.097561,0.75,Hei
0.853659,0.75,Con
0.634146,0.375,Hep
0.439024,0.875,Con
0.487805,0.125,Hep
0.585366,0.25,Hep
0.585366,0.375,Hep
0.292683,0.75,Hei
0.926829,0.875,Con
0.073171,0.625,Hei
0.512195,0.125,Hep
0.780488,0.75,Con
