@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute PAY {'AK    41480','AL    22934','AR    19538','AZ    24640','CA    29132','CO   25892','CT    26610','DC    33990','DE    24624','FL     22250','GA    22080','HA    25845','IA      21690','ID     20969','IL      27170','IN      24274','KA    22644','KY    20940','LA    20460','MA    26800','MD    27186','ME    19583','MI     30168','MN    27360','MO    21974','MS   18443','MT    22482','NB    20939','NC    22795','ND    20816','NH     20263','NJ     27170','NM    22644','NV    25610','NY    30678','OH    24500','OK    21419','OR   25788','PA    25853','RI      29470','SC    21570','SD    18095','TE    21800','TX    25160','UT    22341','VA    23382','VT     20325','WA   26015','WI     26525','WV   20627','WY   27224'}
@attribute SPEND numeric
@attribute AREA numeric

@data
'NV    25610',0.104924,3
'VA    23382',0.214309,2
'AZ    24640',0.087905,3
'KY    20940',0.09187,2
'MA    26800',0.387475,1
'DE    24624',0.366821,2
'MT    22482',0.272637,3
'LA    20460',0.136649,2
'NC    22795',0.176636,2
'OH    24500',0.206543,1
'WY   27224',0.519332,3
'AL    22934',0.071381,2
'NB    20939',0.163252,1
'HA    25845',0.24273,3
'MO    21974',0.141771,1
'RI      29470',0.391937,1
'NH     20263',0.134997,1
'ID     20969',0.03503,3
'SC    21570',0.102941,2
'KA    22644',0.267184,1
'WV   20627',0.086583,2
'ME    19583',0.173331,1
'DC    33990',0.449934,2
'VT     20325',0.2077,1
'CA    29132',0.216623,3
'IL      27170',0.218771,1
'AR    19538',0.057006,2
'WI     26525',0.322208,1
'MS   18443',0.001322,2
'CT    26610',0.428123,1
'PA    25853',0.309154,1
'OK    21419',0.075182,2
'ND    20816',0.125909,1
'GA    22080',0.112855,2
'NM    22644',0.182584,3
'NY    30678',0.563946,1
'WA   26015',0.23265,3
'IA      21690',0.210013,1
'MI     30168',0.245373,1
'FL     22250',0.236946,2
'TE    21800',0.038995,2
'TX    25160',0.187046,2
'MN    27360',0.27842,1
'IN      24274',0.142432,1
'CO   25892',0.288334,3
'UT    22341',0,3
'MD    27186',0.339061,2
'NJ     27170',0.535195,1
'SD    18095',0.110707,1
'OR   25788',0.301718,3
'AK    41480',1,3
