@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Al numeric
@attribute Fe numeric
@attribute Mg numeric
@attribute Ca numeric
@attribute Na numeric
@attribute Site {A,C,I,L}

@data
0.345794,0.995138,0.71791,0.633333,0.333333,L
0.439252,0.294976,0.020896,0.066667,0.039216,A
0.738318,0.155592,0.022388,0,0.019608,I
0.766355,0.058347,0.020896,0.066667,0,I
0.766355,0.035656,0.020896,0.166667,0.039216,A
0.214953,0.844408,0.770149,0.7,1,L
0,0.541329,0.556716,0.633333,0.294118,L
0.074766,0.865478,0.438806,0.533333,0.372549,L
0.242991,0.93517,0.585075,0.633333,0.372549,L
0.280374,0.927066,0.743284,1,0.411765,L
0.71028,0.032415,0.004478,0.166667,0.058824,A
1,0.095624,0.028358,0.2,0.137255,I
0.140187,0.724473,0.483582,0.933333,0.058824,C
0.140187,0.787682,0.802985,0.566667,0.254902,L
0.841121,0.116694,0.010448,0.3,0,A
0.616822,0,0,0,0.039216,A
0.738318,0.094003,0.020896,0,0.058824,I
0.420561,1,0.5,0.4,0.333333,L
0.158879,0.732577,0.508955,0.966667,0.019608,C
0.130841,0.883306,0.762687,0.5,0.215686,L
0.345794,0.998379,0.432836,0.366667,0.27451,L
0.093458,0.740681,0.595522,0.933333,0.529412,L
0.53271,0.23825,0.014925,0,0.019608,I
0.308411,0.972447,1,0.9,0.333333,L
0.224299,0.894652,0.508955,0.7,0.392157,L
0.401869,0.985413,0.562687,0.466667,0.941176,L
