@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Day numeric
@attribute Month {Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep}
@attribute Mo.Number numeric
@attribute Day_of_year numeric
@attribute Draft_No. numeric

@data
0.5,May,0.363636,0.372603,55
0.966667,Nov,0.909091,0.915068,174
0.4,Nov,0.909091,0.868493,126
0.933333,Feb,0.090909,0.161644,285
0.233333,Dec,1,0.936986,105
0.8,Oct,0.818182,0.816438,176
0.333333,Oct,0.818182,0.778082,237
0.566667,Jul,0.545455,0.545205,190
0.9,Jan,0,0.073973,77
0.133333,Feb,0.090909,0.09589,214
0.933333,Oct,0.818182,0.827397,229
0.833333,Jun,0.454545,0.484932,22
0.533333,Aug,0.636364,0.627397,154
0.166667,May,0.363636,0.345205,155
0.866667,Nov,0.909091,0.906849,47
0.633333,Nov,0.909091,0.887671,185
0.7,May,0.363636,0.389041,326
0.633333,May,0.363636,0.383562,183
0.7,Jan,0,0.057534,337
0.866667,Oct,0.818182,0.821918,264
0.933333,Dec,1,0.994521,16
0.066667,Sep,0.727273,0.673973,49
0.466667,Jul,0.545455,0.536986,322
0.166667,Nov,0.909091,0.849315,76
0.933333,Mar,0.181818,0.241096,362
0.6,Sep,0.727273,0.717808,177
0.266667,Jun,0.454545,0.438356,335
0.566667,Nov,0.909091,0.882192,146
0.166667,Mar,0.181818,0.178082,139
0.066667,Aug,0.636364,0.589041,261
0.4,Feb,0.090909,0.117808,152
0.8,Jun,0.454545,0.482192,137
0.033333,Dec,1,0.920548,328
0.4,Oct,0.818182,0.783562,138
0.466667,Nov,0.909091,0.873973,131
0.766667,Jul,0.545455,0.561644,23
0.933333,Nov,0.909091,0.912329,99
0.033333,Feb,0.090909,0.087671,144
1,Dec,1,1,100
0.133333,May,0.363636,0.342466,364
0.633333,Feb,0.090909,0.136986,302
0.033333,Oct,0.818182,0.753425,125
0.5,Jan,0,0.041096,121
0.7,Dec,1,0.975342,53
0.3,Mar,0.181818,0.189041,323
0.766667,May,0.363636,0.394521,31
0.6,Oct,0.818182,0.8,241
0.133333,Jun,0.454545,0.427397,28
0.3,Jul,0.545455,0.523288,284
0.133333,Nov,0.909091,0.846575,310
0.666667,Nov,0.909091,0.890411,156
0.533333,Nov,0.909091,0.879452,143
0.566667,Jan,0,0.046575,140
0.633333,Apr,0.272727,0.30137,345
0.266667,Oct,0.818182,0.772603,342
0.633333,Aug,0.636364,0.635616,344
0.9,Apr,0.272727,0.323288,262
0.833333,Oct,0.818182,0.819178,7
1,Jul,0.545455,0.580822,193
0.4,May,0.363636,0.364384,295
0.8,Mar,0.181818,0.230137,343
0.033333,Jul,0.545455,0.50137,350
0.133333,Mar,0.181818,0.175342,293
0.466667,Dec,1,0.956164,320
0.066667,Nov,0.909091,0.841096,348
0.5,Aug,0.636364,0.624658,44
1,Mar,0.181818,0.246575,30
0.8,Aug,0.636364,0.649315,286
0.1,Dec,1,0.926027,165
0.833333,Jan,0,0.068493,92
0.266667,Jul,0.545455,0.520548,277
0.2,Apr,0.272727,0.265753,147
0.766667,Jun,0.454545,0.479452,358
0.2,Sep,0.727273,0.684932,8
0.766667,Jan,0,0.063014,59
0.433333,Mar,0.181818,0.2,354
0.9,Feb,0.090909,0.158904,299
1,Aug,0.636364,0.665753,11
0.6,Nov,0.909091,0.884932,203
0.3,Aug,0.636364,0.608219,21
0.4,Dec,1,0.950685,163
0.766667,Nov,0.909091,0.89863,230
0.6,Apr,0.272727,0.29863,336
0.733333,Feb,0.090909,0.145205,57
0.466667,Jun,0.454545,0.454795,180
0.866667,Jan,0,0.071233,355
0.7,Nov,0.909091,0.893151,9
0.1,Sep,0.727273,0.676712,232
0.566667,Sep,0.727273,0.715068,246
0.333333,Jun,0.454545,0.443836,134
0.533333,Mar,0.181818,0.208219,33
0.166667,Oct,0.818182,0.764384,87
0.666667,Oct,0.818182,0.805479,243
0.966667,Jul,0.545455,0.578082,287
0.366667,Mar,0.181818,0.194521,300
0.8,Jul,0.545455,0.564384,67
0.866667,Feb,0.090909,0.156164,205
0.2,Jun,0.454545,0.432877,85
0.7,Aug,0.636364,0.641096,339
0.066667,Apr,0.272727,0.254795,83
