@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute WGT numeric
@attribute GRO numeric
@attribute REG numeric
@attribute KILN numeric
@attribute WT1 numeric
@attribute WT2 numeric
@attribute VEL1 numeric
@attribute VEL2 numeric

@data
?,?,?,?,0.215385,0.734694,0.444444,?
?,?,?,?,0,0.673469,0.555556,?
?,?,?,?,0.230769,0.714286,0.711111,?
?,?,?,?,0.507692,0.530612,0.622222,?
?,?,?,?,0.076923,0.795918,0.266667,?
?,?,?,?,0.292308,0.408163,0.422222,?
?,?,?,?,0.584615,0.591837,0.511111,?
0.066667,0.010714,?,?,0.723077,0.714286,0.311111,772
0.275362,0.310714,?,?,0.707692,0.653061,0.688889,774
0.550725,0.425,0.250847,0.097059,0.523077,0.142857,0.8,1051
?,?,?,?,0.430769,0.959184,0.488889,?
?,?,?,?,0.353846,0.693878,0.311111,?
?,?,?,?,0.630769,0.979592,0.755556,851
?,?,?,?,0.292308,0.979592,0.644444,?
0.568116,0.457143,0.671186,0.722549,0.492308,0.265306,0.688889,682
?,?,?,?,0.476923,0.632653,0.466667,?
?,?,?,?,0.753846,0.122449,0.511111,?
?,?,?,?,0.676923,0.714286,0.511111,?
?,?,?,?,0.215385,0.285714,0.4,?
?,?,?,?,0.615385,0.673469,0,?
?,?,?,?,0.092308,0.530612,0.422222,?
?,?,?,?,0.553846,0.081633,0.355556,?
?,?,?,?,0.584615,0.55102,0.222222,?
0.565217,0.525,0.630508,0.665686,0.261538,0.142857,0.733333,611
?,?,?,?,0.107692,0.285714,0.444444,?
?,?,?,?,0.553846,0.102041,0.666667,?
?,?,?,?,0.584615,0.938776,0.6,?
0.37971,0.175,?,?,0.107692,0.612245,0.8,796
?,?,?,?,0.092308,0.081633,0.733333,?
?,?,?,?,0.292308,0.755102,0.488889,?
?,?,?,?,0.169231,0.55102,0.577778,?
?,?,?,?,0.476923,0.489796,0.488889,?
?,?,?,?,0.4,0.653061,0.488889,?
?,?,?,?,0.492308,0.612245,0.422222,?
?,?,?,?,0.6,0.326531,0.755556,797
?,?,?,?,0.569231,0.632653,0.422222,?
?,?,?,?,0.738462,0.55102,0.4,?
?,?,?,?,0.584615,0.510204,0.288889,?
0.594203,0.432143,0.108475,0.038235,0.661538,0.877551,0.8,599
0.26087,0.346429,0.165254,0.090196,0.584615,0.489796,0.844444,578
?,?,?,?,0.230769,0.755102,0.466667,?
?,?,?,?,0.707692,0.816327,0.488889,?
?,?,?,?,0.461538,0.591837,0.577778,?
?,?,?,?,0.569231,0.081633,0.577778,?
?,?,?,?,0.384615,0.673469,0.577778,?
?,?,?,?,0.461538,0.571429,0.311111,?
?,?,?,?,0.430769,0.714286,0.511111,?
?,?,?,?,0.584615,0.55102,0.266667,?
0,0,?,?,0.461538,0.204082,0.422222,696
?,?,?,?,0.261538,0.877551,0.644444,?
?,?,?,?,0.769231,0.673469,0.555556,?
0.637681,0.603571,1,1,0.569231,0.693878,1,796
?,?,?,?,0.276923,0.979592,0.333333,?
0.217391,0.142857,?,?,0.169231,0.163265,0.066667,820
?,?,?,?,0.6,0,0.555556,?
?,?,?,?,0.584615,0.081633,0.422222,?
?,?,?,?,0.246154,0.836735,0.355556,?
?,?,?,?,0.661538,0.673469,0.577778,?
?,?,?,?,0.692308,0.591837,0.4,?
?,?,?,?,0.169231,0.183673,0.711111,809
?,?,?,?,0.338462,0.102041,0.577778,?
?,?,?,?,0.676923,0.897959,0.422222,?
?,?,?,?,0.523077,0.326531,0.422222,?
?,?,?,?,0.107692,0.693878,0.733333,?
?,?,?,?,0.153846,0.857143,0.377778,?
0.756522,0.710714,0.50339,0.556863,0.215385,0.122449,0.622222,778
?,?,?,?,0.753846,0.183673,0.711111,?
0.553623,0.625,0.54661,0.472549,0.523077,0.755102,0.511111,711
?,?,?,?,0.676923,0.714286,0.777778,?
?,?,?,?,0.107692,0.857143,0.422222,?
?,?,?,?,0.261538,0.857143,0.844444,573
?,?,?,?,0.123077,0.897959,0.555556,?
?,?,?,?,0.769231,0.693878,0.577778,?
0.46087,0.446429,0,0,0.2,0.673469,0.577778,781
?,?,?,?,0.230769,0.979592,0.422222,?
?,?,?,?,0.169231,0.857143,0.6,?
?,?,?,?,0.6,0.163265,0.311111,?
?,?,?,?,0.507692,0.77551,0.577778,?
0.884058,1,0.524576,0.462745,0.430769,0.897959,0.266667,816
1,0.875,0.497458,0.554902,0.569231,0.22449,0.511111,883
?,?,?,?,0.569231,0.204082,0.4,?
?,?,?,?,0.153846,0.653061,0.533333,?
?,?,?,?,0.261538,0.387755,0.533333,?
?,?,?,?,0.076923,0.408163,0.4,?
?,?,?,?,0.138462,0.612245,0.222222,?
?,?,?,?,0.646154,0.632653,0.755556,723
?,?,?,?,0.107692,0.653061,0.377778,?
?,?,?,?,0.338462,0.816327,0.755556,748
?,?,?,?,0.676923,0.612245,0.311111,?
?,?,?,?,0.261538,0.408163,0.488889,?
?,?,?,?,0.569231,0.653061,0.533333,?
?,?,?,?,0.553846,0.734694,0.577778,?
?,?,?,?,0.476923,0.163265,0.488889,?
?,?,?,?,0.538462,0.693878,0.222222,?
?,?,?,?,0.646154,1,0.377778,?
?,?,?,?,1,0.469388,0.6,?
?,?,?,?,0.630769,0.612245,0.511111,?
?,?,?,?,0.692308,0.836735,0.511111,?
?,?,?,?,0.615385,0.163265,0.844444,748
?,?,?,?,0.538462,0.653061,0.488889,?
