@relation relation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.instance.ReservoirSample-S1-Z100

@attribute Birthrate numeric
@attribute Year numeric

@data
0.178975,1929
0.031936,1974
0.090486,1939
0.125749,1940
0.893546,1962
0.29674,1919
0.794411,1954
0.353959,1925
0.418496,1921
0.391883,1924
0.646041,1951
0.313373,1970
0.073852,1935
0.691949,1952
0.222222,1928
0.274784,1971
0.176314,1930
0.117099,1972
0.54491,1948
0.574185,1965
0.43513,1918
0.39654,1968
0.834997,1955
0.497671,1966
0.405855,1920
0.968064,1961
0.546906,1950
0.196939,1941
0.995343,1960
0.165003,1945
0.735862,1964
0.073187,1936
0.047904,1933
1,1957
0.75183,1953
0.97006,1958
0,1975
0.369927,1942
0.473719,1946
0.086494,1932
0.429807,1917
0.32668,1923
0.051896,1973
0.135729,1931
0.073187,1934
0.808383,1963
0.971391,1959
0.937458,1956
0.402528,1967
0.103792,1938
0.554225,1949
0.373919,1943
0.300732,1927
0.4165,1969
0.343313,1926
0.622089,1947
0.254158,1944
0.365269,1922
0.091151,1937
